,title,body
0,"김의겸, 부동산 정책 걸림돌 안 되려 흑석동 집 판다","“차액 기부… 욕심꾸러기 아니다”

고가 건물 매입 논란에 휩싸인 김의겸 청와대 대변인이 29일 오전 사퇴 의사를 밝혔다. 연합뉴스


김의겸 전 청와대 대변인은 1일 “청와대 대변인 시절 매입해 물의를 일으킨 흑석동의 집을 판다”며 “매각 뒤 남은 차액에 대해서는 전액 기부하고 내역을 공개하겠다”고 밝혔다. 내년 4월 총선을 앞두고 야권의 정치공세가 한층 강화되고 있는 상황과 무관치 않다는 설명이다.

김 전 대변인은 이날 페이스북에 “흑석동 집을 팝니다”라며 “조용히 팔아보려 했으나 여의치 않고 오해를 낳을 수 있어 공개로 매각한다. 늦어도 내년 1월 31일까지 계약을 마치겠다”고 썼다.

김 전 대변인은 지난해 7월 흑석동 상가 건물을 25억7,000만원에 매입한 사실이 올해 3월 공직자 재산신고를 통해 알려지며 투기 논란이 일자 청와대 대변인 자리를 사퇴했다.

흑석동 집을 팔기로 한 이유로 “정부 정책에 걸림돌이 돼서는 안 되겠기에 매각을 결심했다”고 밝혔다. 김 전 대변인은 “문재인 정부의 성공을 위해서는 부동산 안정이 필수적인데, 야당과 보수언론은 정부 정책의 신뢰도를 떨어뜨리려 하고 있다”며 “이 과정에서 제가 먹기 좋은 먹잇감이 되고 있다”고 지적했다. 특히 “분양가 상한제 지정 때 흑석동이 빠진 걸 두고 제 ‘영향력’ 때문이라고까지 표현한 게 대표적”이라며 “앞으로도 그런 공격이 되풀이될 것 같다”고 우려를 나타냈다. 그러면서 “다시 무주택자로 돌아가지만 초조해하지 않겠다. 문재인 정부를 믿고 기다리겠다”고 강조했다.

개인적 명예 회복 의지도 담았다. 김 전 대변인은 “평생을 전세살이 했던 제가 어쩌다 투기꾼이 되었나 한심하고 씁쓸하기 그지없다”고 했다. 이어 “이미 엎질러진 물이니 집을 판다고 주워 담을 수는 없을 것”이라며 “하지만 저를 너무 욕심꾸러기로만 보지는 말아주셨으면 하는 게 제 바람”이라고 전했다.

김 전 대변인은 아울러 “사족을 붙이겠다. 제가 비판을 많이 받았지만 가장 아픈 대목이 ‘아내 탓’을 했다는 것”이라며 “제가 잘못 판단했다. 물러나는 마당이니 그 정도 한탄은 해도 되리라 생각했는데 졸렬했다”고 말했다. 하지만 “거짓말쟁이로까지 몰아붙이지는 말아달라. 제가 대출 서류에 서명했다는 이유만으로 어느 의원은 ‘김 전 대변인이 거짓 해명으로 국민을 속였다’고 하는데 그렇지 않다”며 “아내가 가계약을 하고 집주인에게 돈을 부치던 시각 저는 문재인 대통령을 따라 모스크바로 가는 비행기 안이었다. 통화도 할 수 없었다”고 설명했다.

김 전 대변인은 가계약 당시 송금 기록과 모스크바 출장 당시 자신이 나온 사진을 페이스북에 함께 올리기도 했다.

이동현 기자 nani@hankookilbo.com

 ▶[이벤트]한국일보 채널 구독 or 추천하면 에어팟이 내꺼!

 ▶뉴;잼을 보면 뉴스가 재밌다. [뉴스레터 구독하기]"
1,"김의겸 ""흑석동 집 팔겠다…매각 차액은 전액기부""","""야당·보수언론 부동산 정책 신뢰도 떨어뜨리는 데 먹잇감돼""

""정책 걸림돌 돼선 안되기에 결심…무주택자로 돌아간다""

""'아내 탓' 비판 아팠지만 거짓말 아냐…송금 당시 모스크바行 비행기 안이었다""

청와대 김의겸 대변인이 2019년 3월 8일 오전 춘추관 대브리핑룸에서 7개 부처 장관을 교체하는 문재인 대통령의 인사 발표를 하고 있다. [연합뉴스 자료사진]


(서울=연합뉴스) 임형섭 기자 = 김의겸 전 청와대 대변인은 1일 ""청와대 대변인 시절 매입해 물의를 일으킨 흑석동의 집을 판다""며 ""매각 뒤 남은 차액에 대해서는 전액 기부하고 내역을 공개하겠다""고 밝혔다.

김 전 대변인은 이날 페이스북에 글을 올려 ""조용히 팔아보려 했으나 여의치 않고 오해를 낳을 수 있어 공개로 매각한다. 늦어도 내년 1월 31일까지 계약을 마치겠다""며 이같이 말했다.

앞서 김 전 대변인은 지난해 7월 흑석동 상가 건물을 25억7천만원에 매입했으며 이 사실이 올해 3월 알려지며 투기 논란이 일자 청와대 대변인에서 사퇴했다.

김 전 대변인은 이날 올린 글에서 매각을 결심한 이유에 대해 ""문재인 정부의 성공을 위해서는 부동산 안정이 필수적인데, 야당과 보수언론은 정부 정책의 신뢰도를 떨어뜨리려 하고 있다""며 ""이 과정에서 제가 먹기 좋은 먹잇감이 되고 있다""고 설명했다.

그는 ""분양가 상한제 지정 때 흑석동이 빠진 걸 두고 제 '영향력' 때문이라고까지 표현한 게 대표적이다. 앞으로도 그런 공격이 되풀이될 것 같다""며 ""정책에 제가 걸림돌이 되어서는 안 되겠기에 매각을 결심했다""고 전했다.

김 전 대변인은 ""다시 무주택자로 돌아가지만 초조해하지 않겠다""며 ""문재인 정부를 믿고 기다리겠다""고 말했다.

김 전 대변인은 또 ""개인적 명예도 소중했다""고 말했다.

그는 ""결혼 후 2년에 한번 꼴로 이사를 다녔고, 이사가 잦다보니 아내가 시집오며 가져 온 장롱은 너덜너덜해져 있다""며 ""평생을 전세살이 했던 제가 어쩌다 투기꾼이 되었나 한심하고 씁쓸하기 그지없다""고 떠올렸다.

이어 ""이미 엎질러진 물이니 집을 판다고 주워 담을 수는 없을 것""이라며 ""하지만 저를 너무 욕심꾸러기로만 보지는 말아주셨으면 하는 게 제 바람""이라고 전했다.

김 전 대변인은 아울러 ""사족을 붙이겠다. 제가 비판을 많이 받았지만 가장 아픈 대목이 '아내 탓'을 했다는 것""이라며 ""제가 잘못 판단했다. 물러나는 마당이니 그 정도 한탄은 해도 되리라 생각했는데 졸렬했다""고 말했다.

김 전 대변인은 ""하지만 거짓말쟁이로까지 몰아붙이지는 말아달라. 제가 대출 서류에 서명했다는 이유만으로 어느 의원은 '김 전 대변인이 거짓 해명으로 국민을 속였다'고 하는데 그렇지 않다""며 ""아내가 가계약을 하고 집주인에게 돈을 부치던 시각 저는 문재인 대통령을 따라 모스크바로 가는 비행기 안이었다. 통화도 할 수 없었다""고 설명했다.

그러면서 ""그 뒤 상황은 구차한 변명으로 들릴 수 있기에 생략하겠다. 그저 '첫 단추를 잘못 끼웠구나'라고 이해만 해주셔도 고맙겠다""고 말했다.

김 전 대변인은 가계약 당시 송금 기록과 모스크바 출장 당시 자신이 나온 사진을 페이스북에 함께 올리기도 했다.

김의겸 전 대변인 페이스북 캡처


hysup@yna.co.kr

▶확 달라진 연합뉴스 웹을 만나보세요

▶네이버 [연합뉴스] 채널 구독 ▶뭐 하고 놀까? #흥"
2,"김의겸 전 靑 대변인 ""흑석동 건물 매각하겠다""","동영상 뉴스
[정오뉴스]서울 흑석동 재개발 예정 지역의 건물을 매입했다가 부동산 투기 논란으로 사퇴한 김의겸 전 청와대 대변인이 해당 건물을 매각하고, 차액은 전액 기부하겠다고 밝혔습니다.

김 전 대변인은 오늘 자신의 페이스북을 통해 이같이 밝힌 뒤 ""매각을 결심한 이유는 크게 두 가지""라며 ""우선 야당과 보수 언론이 문재인정부 부동산 정책의 신뢰도를 떨어뜨리려 하고 있고 이 과정에서 제가 먹잇감이 되고 있다""고 전했습니다.

특히 ""분양가상한제 지정 때 흑석동이 빠진 걸 두고 제 영향력 때문이라고까지 표현했는데, 이런 공격이 계속될 것 같아 결심했다""며 ""다시 무주택자로 돌아가지만 초조해하지 않고 문재인정부를 믿고 기다리겠다""고 덧붙였습니다.

임명현 기자 (epismelo@mbc.co.kr)

[저작권자(c) MBC (http://imnews.imbc.com) 무단복제-재배포 금지]


▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기

▶ [엠빅뉴스] 네티즌 분노케 한 '화순 공영주차장 사건'..정의구현 축제의 결말은?

▶ [14F] 5분 만에 완판된 소주 백팩! 왜 사려는 걸까?

Copyright(c) Since 1996, MBC&iMBC All rights reserved."
3,김의겸 전 대변인 “흑석동 집 팔겠다···차액은 전액 기부”,"김의겸 전 청와대 대변인.  |경향신문 자료사진

서울 동작구 흑석동에 소재한 고가의 상가건물을 매입한 사실이 드러나 부동산 투기 논란으로 지난 3월 사퇴한 김의겸 전 청와대 대변인이 1일 “청와대 대변인 시절 매입해서 물의를 일으켰던 흑석동의 집을 판다. 늦어도 내년 1월31일까지는 계약을 마치겠다”며 “매각한 뒤 남은 차액에 대해서는 전액 기부를 한 뒤 그 내역을 공개하겠다”고 밝혔다.

김 전 대변인은 이날 페이스북에 올린 글에서 “조용히 팔아보려 했으나 여의치 않은데다 오해도 낳을 수 있어 공개로 전환하는 것”이라며 이같이 밝혔다. 앞서 김 전 대변인은 지난해 7월 흑석동 상가 건물을 25억7000만원에 매입한 사실이 올해 3월 공직자재산신고 과정에서 알려지며 투기 논란이 일자 청와대 대변인에서 사퇴했다.

김 전 대변인은 정부 부동산 정책에 걸림돌이 되지 않기 위해 부동산 매각을 결심했다고 설명했다.

김 전 대변인은 “문재인 정부의 성공을 위해서는 부동산 안정이 필수적이다. 이를 위해서는 국민들이 정부의 부동산 정책을 믿어줘야 한다”며 “그런데 야당과 보수언론은 정부 정책의 신뢰도를 떨어뜨리려 하고 있다. 이 과정에서 제가 먹기 좋은 먹잇감이 되고 있다”고 했다.

이어 “분양가 상한제 지정 때 흑석동이 빠진 걸 두고 저의 ‘영향력’ 때문이라고까지 표현한 게 대표적”이라며 “앞으로도 그런 공격은 계속 되풀이될 것 같다. 정부 정책에 제가 걸림돌이 되어서는 안 되겠기에 매각을 결심했다”고 했다. “저는 다시 무주택자로 돌아간다”며 “하지만 초조해하지 않겠다. 문재인 정부를 믿고 기다리겠다”고도 했다.

김 전 대변인은 부동산 매각의 다른 이유로 ‘개인적 명예’를 들었다. 그는 “지난 봄 청와대 관사에서 짐을 빼 다시 이사를 했다. 손가락으로 꼽아보니 결혼 뒤 열한 번째”라며 “ 결혼한 지 25년이니 2년에 한번 꼴로 이사를 다닌 셈”이라고 했다.

또 “이사가 잦다보니 아내가 시집오며 가져온 장롱은 문짝이 맞지 않고 곳곳이 너덜너덜해져 있다. 이삿짐을 운반하던 분으로부터 ‘버리는 것 아니에요’라는 말까지 들었다”며 “평생을 전세살이 했던 제가 어쩌다 투기꾼이 되었나 한심하고 씁쓸하기 그지없다”고 했다.

그러면서 “이미 엎질러진 물이니 집을 판다고 주워 담을 수는 없겠죠”라며 “하지만 저를 너무 욕심꾸러기로만 보지는 말아주셨으면 하는 게 제 바람”이라고 덧붙였다.

김 전 대변인은 부동산 투기 논란이 일자 ‘아내 탓’을 했다는 지적에 대해서도 해명했다. 그는 “제가 비판을 많이 받았습니만 그중 가장 아픈 대목이 ‘아내 탓’을 했다는 것”이라며 “제가 잘못 판단했다. 물러나는 마당이니 그 정도 한탄은 해도 되리라 생각했는데 졸렬했다”고 후회했다.

다만 “하지만 거짓말쟁이로까지 몰아붙이지는 말아주십시오”라며 “아내가 흑석동 집을 잡기 위해 가계약을 하고 집주인에게 돈을 부치던 그 시각 저는 문재인 대통령을 따라서 모스크바로 가는 비행기 안에 있었다. 통화도 할 수 없는 상황이었다”고 설명했다.

김 전 대변인은 “그 뒤 상황은 구차한 변명으로 들릴 수 있기에 생략하겠다. 그저 ‘첫 단추를 잘못 끼웠구나’라고 이해만 해주셔도 고맙겠다”고 했다. 그는 가계약 당시 송금 기록과 모스크바 출장 당시 자신이 나온 사진을 페이스북에 함께 올리기도 했다.

정제혁 기자 jhjung@kyunghyang.com


▶ 장도리 | 그림마당 보기

▶ 경향신문 최신기사

▶ 기사 제보하기

©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
4,"국토부, 부동산대책 불통 지적에 ""유튜브까지 보는데…""","국토교통부가 부동산대책과 관련해 시장에서 ‘불통’ 지적을 받고 있지만, 실무자들은 다소 억울하다는 입장이다. 이들은 부동산 시장을 이해하기 위해 관련 유튜브까지 공부하고 있다고 했다. 현 정부의 부동산 정책에 비판적인 시각을 가진 시장 전문가들도 국토부 실무 라인의 노력만큼은 인정하며 ""안타깝다""는 반응이다.

국토부는 최근 분양가 상한제 적용, 청약 조정대상지역 해제 등 시장에 파급효과가 큰 굵직한 정책을 발표하고 이를 강력하게 밀어붙이겠다는 의지를 드러냈다. 여기에 작년 9·13 부동산 대책에서 조정대상지역 내 다주택자에 대한 종부세율을 상향 조정하고, 종부세 대상자의 보유세 부담 상한액을 전년도 납부 세액의 200∼300%까지 높인 첫해다.

시장에서는 정부의 부동산 정책이 집값은 잡지 못하고 시장을 자극만 할 것이라는 등 비판적인 시각이 팽배하다. 내년 국회의원 총선거를 앞둔 정치적인 판단의 결과물이라는 지적도 제기되고 있다. 한 부동산 전문가는 ""현재 나오는 정책들이 ‘서울 살면 다 투기꾼’이라는 식으로 지나치게 몰아 붙이고 있다""면서 ""재산이 많은 사람을 괴롭히는 정책을 내놓으면 정치적으로 인기는 많이 얻지만, 장기적으로 부자들이 한국을 떠나는 현상이 벌어질 수 있다""고 목소리를 높였다.

서울 강남구 대치동 아파트 단지./연합뉴스

정책을 문제삼는 것을 넘어 ‘국토부가 시중 전문가들 이야기에는 관심이 없다’ ‘귀 막은 국토부’ 등 국토부의 업무 수행 방식에 대한 불만 여론도 심심찮게 나온다. 일각에서는 국토부 고위 관료가 ""우리가 제일 전문가""라며 전문가 의견을 듣지 않겠다고 공공연히 밝힌 것으로 전해지고 있다.

하지만 부동산 정책의 실무를 담당하는 국토부 주택정책과 실무진들은 이에 대해 억울함을 표현하고 있다. 국회 또는 민간의 전문가들을 만나 꾸준히 이야기를 듣고, 부동산 정책 관련 간담회와 세미나를 자주 찾아간다는 것이다. 나아가 민간 전문가들이 활동하는 부동산 관련 유튜브도 꼼꼼히 챙겨보면서 시장 상황도 챙긴다고 밝혔다.

국토부 관계자는 ""정책 간담회나 세미나 등 공식적인 자리에서만 의견을 나누는 것으로는 한계가 있으니, 전문가들과 비공식적인 자리를 마련해서라도 깊이있는 이야기를 들으려고 노력한다""면서 ""정부청사가 있는 세종시에만 붙어있지 않고 서울에 올라가서 소통하려는 노력을 하고 있다""고 했다.

이 관계자는 ""놀부(놀라운부동산), 붇옹산, 빠숑, 월천대사, 아기곰 등 민간에서 부동산 관련 이야기를 하는 사람들과 증권사의 부동산 애널리스트 등 많은 사람들이 주목하는 전문가들이 출연한 유튜브 영상들도 다 보고 있다""면서 ""예를 들면 라이트하우스는 비판적인 시각을 유지하고 있고, 애널리스트 출신 전문가는 서울 집값이 오를 것이라고 꾸준하게 주장한다""면서 이들이 평소 주장하는 지론에 대해서도 얘기했다.

다른 국토부 관계자도 ""시장에서 크게 반응할 만한 주요 이벤트가 있을 때는 민간 전문가들에게 전화해서 시장 상황을 본다""면서 ""직원들도 각자 시간이 날 때마다 수시로 부동산 관련 유튜브까지 챙겨보며 회의 시간에 시장에서 어떤 주장이 나오고 있는지 정보를 공유한다""고 했다.

시장 전문가들도 국토부 실무진의 이 같은 노력에 대해서는 인정하는 분위기다. ""국토부 관계자들에게 ‘이렇게 정책 만들어서 되겠냐’고 강하게 이야기하는 편""이라고 자신을 소개한 부동산 관련 교수는 ""국토부에서도 시장 상황에 대해 잘 알고 있고, 여기에 공감도 하는 편""이라면서도 ""다만 정부 정책의 기조를 훼손할까 우려한다는 인상을 받았는데, 짠하다""라고 말했다.

[세종=이민아 기자 wow@chosunbiz.com]



- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -

[네이버 메인에서 조선일보 받아보기]
[조선닷컴 바로가기]
[조선일보 구독신청하기]"
5,“보유세 인상은 부동산값 올려놓고 세금 거둬 가는 격”,"수영구와 해운대 아파트 전경. 부산일보DB


이번 주부터 고지되는 종합부동산세의 대상자와 세금이 지난해보다 크게 늘어 곳곳에서 아우성이 쏟아지고 있다. 특히 정부는 이달부터 내년도 부동산 공시가격을 정하는 절차에 들어가면서 공시가격 현실화율을 대폭 높이는 방안을 검토해 보유세 부담은 더 늘어날 것으로 예상된다. 정부가 부동산 거래(양도소득세), 대출과 함께 보유세까지 더욱 더 고삐를 죄는 모양새다.

올해 종부세 과세 대상자

지난해보다 13만 명 늘어

금액도 3조 3500억 원 추정

부동산 공시가격 신뢰도 강화

정부 내주 종합대책 발표

공동주택 현실화율 80% 이상

보유세 급등에 시민들 ‘반발’

2일 국세청에 따르면 올해 종합부동산세 과세 대상자는 지난해보다 13만 명 가까이 늘어난 60만 명(59만 5000명)에 육박했다. 금액도 60%가량 불어난 3조 3500억 원에 달했다. 세율 인상, 시세 상승 반영한 공시가격 상향, 공정시장가액 비율 상향 등이 영향을 미친 것이다.

이와 관련해 온·오프라인에서는 비판의 목소리가 높았다. 회사원 박 모(45·부산 남구 대연동) 씨는 “부동산 가격 올려놓고 세금 거둬 가는 격”이라며 “보유세를 올릴 거면 양도세 규제를 풀어 거래가 잘 이뤄지게 만들어야 한다”고 꼬집었다. 이영래 부동산서베이 대표는 “공시가격 현실화율을 계속 높여 이미 올해의 보유세가 지난해보다도 30~50% 정도 올랐다”며 “다주택자의 경우 점점 종부세 부담이 더 클 텐데 앞으로 똘똘한 한 채에 대한 선호도가 더 높아질 것”이라고 전망했다.

국토교통부는 오는 17일부터 시작되는 표준주택 공시가격 예정가격 열람을 앞두고 이르면 다음 주 부동산 공시가격 신뢰도 강화를 위한 종합대책을 발표한다고 2일 밝혔다. 국토부는 올해 현실화율(시세 반영률)이 크게 낮았던 고가 단독주택의 공시가격을 최대 3배까지 끌어올렸다. 이를 토대로 상대적으로 현실화율이 높았던 공동주택은 지난해 수준인 68.1%에 맞추되 표준 단독주택은 지난해 51.8%에서 올해 53%로, 표준지 공시지가는 62.6%에서 64.8%로 각각 올렸다.

국토부는 곧 발표할 종합대책에서 연차별로 공시가격 현실화율을 높이고 이를 공개하는 내용의 ‘부동산 가격공시 제도 개편 로드맵’ 을 내놓을 예정이다. 공시가격 현실화율은 시세 대비 공시가격 비율을 말한다. 공시가격은 재산세, 종합부동산세 등의 부과 기준이다. 따라서 공시가격 현실화율이 높아지면 세금도 덩달아 오를 수밖에 없다. 로드맵에는 68% 수준인 공동주택의 공시가격 현실화율을 80% 이상으로 높이는 방안도 논의되고 있다. 공시가격은 건강보험료, 기초연금, 국가장학금 등 여러 분야에서 기초 자료로 쓰이기 때문에 여파가 사회 여러 곳에 미친다. 김덕준·김마선 기자 casiopea@busan.com




▶ 네이버에서 부산일보 구독하기 클릭!
▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!
▶ 부산일보 홈 바로가기"
6,"시세반영률 더 높이나?…국토부 ""부동산 공시제도 대책 검토""","[이미지출처=연합뉴스]


[아시아경제 지연진 기자]이달 중순부터 표준주택 공시가격 예정가격 열람이 시작되는 가운데 정부가 부동산 공시제도 개편을 논의 중이다.

국토교통부는 2일 ""그동안 공시가격과 관련해 산정 오류나 검증 미흡 등 문제점이 제기됨에 따라 공시가격의 신뢰성을 확보하기 위한 대책을 검토하고 있다""고 밝혔다. 다만 부동산 공시제도 개편과 관련한 종합대책 내용이나 발표 시점은 확정하지 않았다고 전했다.

하지만 일각에선 이달 17일부터 표준주택 공시가격 예정가격 열람을 앞두고 있는 만큼 이르면 다음주 부동산 공시가격 신뢰도 강화를 위한 종합대책이 나올 것으로 예상하고 있다.

공시가격 현실화율(시세반영률)을 순차적으로 높이는 '부동산 가격공시 제도 개편 로드맵' 추진 계획을 공개하고, 이후 관련 연구용역과 공청회 등 공론화 과정을 거친 뒤 내년 하반기께 완성된 로드맵을 내놓는 방안을 검토 중인 것으로 알려졌다.

로드맵에는 일정 기한까지 현재 50∼60%대인 단독주택 공시가격과 토지 공시지가 현실화율을 공동주택 수준으로 높이는 방안이 담길 것으로 전해졌다. 현재 70%에 못미치는 공동주택의 공시가격 현실화율은 80% 이상으로 높이는 방안도 거론된다.

공시가격 현실화율을 높이고, 토지 공시지가와 주택 공시가격의 역전현상 해결을 위해 앞으로 '공시비율'을 폐지하는 방안도 검토중인 것으로 알려졌다. 공시비율은 한국감정원의 공시가격 조사자가 산정한 주택 가격에 일정 비율을 곱해 일률적으로 공시가격을 낮추는 일종의 '할인율'이다. 2005년 주택공시제도 도입 이후 '80%' 비율이 적용됐다. 하지만 공시비율이 보유세 급등을 막고 집값 변동이 심할 때 공시가격 산정 금액이 시세보다 높아지는 문제를 막는 '버퍼(완충)' 기능을 해온 반면 고가주택, 다주택 보유자의 보유세를 깎아주는 역할을 해 조세 형평성을 해친다는 비판을 받았다.

대책에는 국토부와 한국감정원은 공시가격 산정 오류를 줄이기 위해 공시가격 산정 시스템을 뜯어고치는 내용도 담길 전망이다.

표준-개별 주택ㆍ토지 간 공시가격 격차가 크지 않도록 프로그램을 개선하고 대형주택의 공시가격이 소형주택보다 낮은 주택형간 가격 역전현상 등의 오류도 시스템 개선으로 해결하는 것이다. 감정원 주도로 이뤄지던 공동주택 공시가격 심사 절차와 기능도 정부 주도 심사로 바뀌는 방안이 논의 중이다.

지연진 기자 gyj@asiae.co.kr

▶ 2020년 경자년(庚子年), 나의 신년운세와 토정비결은?
▶ 즉석당첨! 아시아경제 구독하고 세로TV받자! ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
7,"LH, 민간 협업으로 부동산 서비스 강화","(사)한국프롭테크포럼과 프롭테크 활성화 위한 업무협약 체결
[경남CBS 이상현 기자]
'부동산 서비스와 IT기술 융합 활성화를 위한 업무협약'을 체결한 한병홍 LH 스마트도시본부장(사진 오른쪽), 안성우 (사)한국프롭테크포럼의장이 기념촬영을 하고 있다. (사진=LH 제공)
한국토지주택공사, LH가 지난 달 29일 분당 LH 경기지역본부에서 사단법인 한국프롭테크포럼과 '부동산 서비스와 IT기술 융합 활성화를 위한 업무협약'을 체결했다.

최근 정보 기술을 결합한 부동산 서비스 산업인 '프롭테크(Prop Tech)'가 각광을 받으면서, 빅데이터, 가상현실(VR), 블록체인 등의 신기술을 부동산 서비스에 접목하는 시도가 늘어나고 있다.

이번 협약은 LH가 개발·보유·관리하는 부동산에 민간업체의 혁신기술과 아이디어를 접목해 국민에게 더 나은 서비스를 제공하고, 부동산 서비스·IT기술 융합 분야 일자리 창출 등 사회적 가치를 실현하기 위해 마련됐다.

양 기관은 이번 협약으로, 프롭테크 기술 활용을 통한 스타트업과의 동반성장 도모, 공간정보 기반 공공데이터의 개방과 활용 확대, 프롭테크 분야 일자리창출 지원 활동에 적극 협력하기로 했다.

우선 LH는 스타트업과의 협업으로 각종 사업추진과 관련 토지, 주택 등의 개발·건설 시 프롭테크 기술을 적용해 다양한 맞춤형 공간정보 서비스를 제공할 계획이다.

그동안 기술 협업은 한국프롭테크포럼 내 회원사와 개별 접촉을 통해 임대주택 등 일부 분야에 한해 이뤄졌으나, 이번 협약으로 LH 사업 전반에 걸쳐 포럼 내 120여개의 회원사와 긴밀한 교류가 이뤄질 전망이다.

또, LH는 현재 운영·관리하고 있는 공간정보 기반의 공공데이터를 민간기업에 폭넓게 개방하고, 이를 활용한 민간기업의 비즈니스 모델 개발을 지원해 공공데이터의 활용성을 높일 구상이다.

이와 함께, 양 기관은 프롭테크 관련 스타트업 발굴과 육성, 창업 경진대회 개최 등 일자리창출 지원을 위한 다양한 업무협력 프로그램을 추진하게 된다.

한병홍 LH 스마트도시본부장은 ""이번 협약으로 LH에서 시행하는 각종 정책사업에 IT기술 기반의 부동산서비스가 접목돼 국민 니즈를 충족하는 다양한 맞춤형 서비스가 발굴되길 기대한다""고 말했다.

▶ 확 달라진 노컷뉴스

▶ 인싸들의 선택, 노컷뉴스 구독 서비스

▶ 노컷이 못한 일, 돈컷은 한다


hirosh@cbs.co.kr

저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지"
8,서울 식품물가 뉴욕보다 비싸…부동산 임대료는 8위,"서울의 식품물가가 미국 뉴욕 등 물가가 비싼 곳으로 알려진 다른 도시들보다 더 높은 것으로 조사됐습니다.

한국은행에 따르면, 지난달 미 달러화 기준으로 서울 식료품 물가는 128달러 80센트로, 111달러70센트를 기록한 뉴욕보다 더 비쌌습니다.

서울 부동산 임대료의 경우 446개의 도시 중 8위를 차지했습니다.

정인아 기자(ina@sbs.co.kr)


☞ 의견 있는 경제채널 SBSCNBC [홈페이지]
☞ 경제를 실험한다~ #머니랩 [네이버 TV]
저작권자 SBS미디어넷 & SBS I&M 무단전재-재배포 금지"
9,"[뉴스터치] 서울 부동산 임대료 세계 8위…식료품, 뉴욕·도쿄보다 비싸","동영상 뉴스
[뉴스투데이]◀ 앵커 ▶

화제의 뉴스를 모아 짚어드리는 <뉴스터치> 시간입니다.

◀ 나경철 아나운서 ▶

김수지 앵커, 전 세계에서 생활비가 가장 비싼 도시라고 하면 어디가 떠오르시나요?

◀ 앵커 ▶

미국 뉴욕이나 일본 도쿄, 프랑스 파리같은 대도시 아닐까요?

물론 서울도 상당히 높을 것으로 생각되지만요.

◀ 나경철 아나운서 ▶

2008년 금융 위기 이후 우리나라의 물가 수준은 꾸준히 높아져서 선진국 평균에 가까워지고 있다고 하는데요.

특히 서울의 부동산 임대료는 세계에서 8번째로 비싸다고 합니다.

한국은행에 따르면, 경제협력개발기구, OECD 물가지수 기준으로 우리나라의 물가는 36개 OECD 회원국 가운데 22번째라고 하는데요.

2009년 OECD 평균의 63% 수준에서 지난해에는 88%정도까지 근접했다고 합니다.

특히 서울은 세계 주요 도시 337개 가운데 생활물가가 26번째로 높았는데 서울의 고물가에는 부동산 임대료가 많은 영향을 미친 것으로 분석됐습니다.

서울의 영업용 부동산 임대료는 주요 도시 중 8번째로 높았고, 특히 서울 번화가에 있는 부동산 임대료는 상위 30개 도시 평균의 1.4배에 달했다고
하는데요.

서울의 식료품 생활물가지수도 살인적인 물가로 유명한 뉴욕이나 도쿄보다 높은 수준이었다고 합니다.

◀ 앵커 ▶

영업용 부동산의 비싼 임대료는 결국 소비자들이 느끼는 물가에 영향을 줄 수 밖에 없을텐데요.

집값 상승에 생활물가까지, 서민들의 살림살이가 점점 힘들어지는 것은 아닌지 걱정입니다.

나경철 기자

[저작권자(c) MBC (http://imnews.imbc.com) 무단복제-재배포 금지]


▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기

▶ [엠빅뉴스] 네티즌 분노케 한 '화순 공영주차장 사건'..정의구현 축제의 결말은?

▶ [14F] 5분 만에 완판된 소주 백팩! 왜 사려는 걸까?

Copyright(c) Since 1996, MBC&iMBC All rights reserved."
